Hidden_State,S1,S2,S3,S4,S5,S6,row_id,Internal_Mobility_Index,External_Mobility_Index,Per_Capita_Income,Cumulative_Cases_Rate,Average_Household_Persons,Inmigrants,Total_Households_Housed,Housing_Precariousness_Index,Commune,Date,Days,Higher_Education_Percentage,Postgraduade_Percentage,Social_Priority_Index_2020,Priority_2020,Code,Year,Month,Step,Step_Label,Quarantine_Start_Date,Quarantine_End_Date,Gross_Daily_Cases,Gross_Daily_Cases_Mobile_Average_7_Days
5.0,6.505871697721047e-88,5.917692114114199e-12,0.01056227969572831,7.828518872969284e-287,0.989437720298354,2.2949318883601897e-271,6729,1.111105074,5.489459959,250926.34,4538.20367587562,3.231087033,2352,96452,4.9388268,San Ramon,2020-07-04,2020-07-06,7.0,0.2,83.5,Alta Prioridad Social,13131,2020,7,1,Cuarentena,2020-04-30,2020-09-07,39.3018148190904,38.97154746767436
5.0,7.033429867206766e-79,1.1484862766471623e-10,0.009882717691656847,8.51558906260035e-261,0.9901172821934946,2.966493024805755e-244,6730,1.034934261,5.339726176,250926.34,4577.50549069472,3.231087033,2352,96452,4.9388268,San Ramon,2020-07-05,2020-07-07,7.0,0.2,83.5,Alta Prioridad Social,13131,2020,7,1,Cuarentena,2020-04-30,2020-09-07,39.30181481909949,37.15507703485998
5.0,3.417421280878947e-74,2.5946404713934824e-09,0.0024404014890591513,5.370829511742516e-248,0.9975595959163004,1.4201566395912156e-231,6731,1.254264914,6.607519287,250926.34,4606.40388394405,3.231087033,2352,96452,4.9388268,San Ramon,2020-07-06,2020-07-08,7.0,0.2,83.5,Alta Prioridad Social,13131,2020,7,1,Cuarentena,2020-04-30,2020-09-07,28.89839324933018,36.32940865630709
5.0,6.20991163555512e-69,1.5072748940974563e-08,0.0016942230651017663,1.0512663925882624e-235,0.9983057618621494,8.48813097883028e-220,6732,1.305552537,6.897587743,250926.34,4635.30227719339,3.231087033,2352,96452,4.9388268,San Ramon,2020-07-07,2020-07-09,7.0,0.2,83.5,Alta Prioridad Social,13131,2020,7,1,Cuarentena,2020-04-30,2020-09-07,28.89839324934019,35.50374027775576
5.0,1.0882782596960706e-63,7.268612815953869e-08,0.0015713502116572623,8.077196002980758e-222,0.9984285771022146,2.6339261190958933e-206,6733,1.297946322,6.91100728,250926.34,4663.04473471275,3.231087033,2352,96452,4.9388268,San Ramon,2020-07-08,2020-07-10,7.0,0.2,83.5,Alta Prioridad Social,13131,2020,7,1,Cuarentena,2020-04-30,2020-09-07,27.74245751935996,34.51293822349141
5.0,1.4440411237121914e-56,8.092633462901206e-07,0.0013811912622479384,4.166200529944971e-202,0.9986179994744058,8.643926551055168e-187,6734,1.337715962,6.993154406,250926.34,4691.94312796208,3.231087033,2352,96452,4.9388268,San Ramon,2020-07-09,2020-07-11,7.0,0.2,83.5,Alta Prioridad Social,13131,2020,7,1,Cuarentena,2020-04-30,2020-09-07,28.89839324933018,33.02673514209722
5.0,4.545012639283636e-50,8.235296314709367e-06,0.0010585507975350813,9.826627482898312e-185,0.9989332139061502,3.966921507912414e-170,6735,1.43045746,7.251548408,250926.34,4720.84152121142,3.231087033,2352,96452,4.9388268,San Ramon,2020-07-10,2020-07-12,7.0,0.2,83.5,Alta Prioridad Social,13131,2020,7,1,Cuarentena,2020-04-30,2020-09-07,28.89839324933928,31.70566573641281
5.0,5.986568594264147e-48,3.22677333942494e-06,0.0025437155213828017,1.5251661165195138e-180,0.9974530577052778,1.5275124061206841e-165,6736,1.18803651,6.382429643,250926.34,4757.83146457057,3.231087033,2352,96452,4.9388268,San Ramon,2020-07-11,2020-07-13,7.0,0.2,83.5,Alta Prioridad Social,13131,2020,7,1,Cuarentena,2020-04-30,2020-09-07,36.98994335914995,31.37539838499275
5.0,1.4621797233804548e-46,1.8115603062052653e-06,0.007188034645401795,8.180228070997833e-176,0.9928101537942919,2.83856816184928e-160,6737,1.051015973,5.407312833,250926.34,4793.66547219975,3.231087033,2352,96452,4.9388268,San Ramon,2020-07-12,2020-07-14,7.0,0.2,83.5,Alta Prioridad Social,13131,2020,7,1,Cuarentena,2020-04-30,2020-09-07,35.83400762918063,30.87999735786148
5.0,3.793863709519356e-51,2.550956523166927e-06,0.0015051222123932035,1.0353786071151299e-188,0.9984923268310837,4.358808419088206e-174,6738,1.272954471,6.88128871,250926.34,4830.65541555889,3.231087033,2352,96452,4.9388268,San Ramon,2020-07-13,2020-07-15,7.0,0.2,83.5,Alta Prioridad Social,13131,2020,7,1,Cuarentena,2020-04-30,2020-09-07,36.98994335913994,32.0359330878343
